EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,steven.king@company.com,515.123.4567,6/17/2010,AD_PRES,24000,0,0,90
101,Neena,Kochhar,neena.kochhar@company.com,515.123.4568,6/18/2010,AD_VP,17000,0,100,90
102,Lex,De Haan,lex.de haan@company.com,515.123.4569,6/19/2010,AD_VP,17000,0,100,90
103,Alexander,Hunold,alexander.hunold@company.com,590.423.4567,6/20/2010,IT_PROG,9000,0,102,60
104,Bruce,Ernst,bruce.ernst@company.com,590.423.4568,6/21/2010,IT_PROG,6000,0,103,60
105,David,Austin,david.austin@company.com,590.423.4569,6/22/2011,IT_PROG,4800,0,103,60
106,Valli,Pataballa,valli.pataballa@company.com,590.423.4560,6/23/2011,IT_PROG,4800,0,103,60
107,Diana,Lorentz,diana.lorentz@company.com,590.423.5567,6/24/2011,IT_PROG,4200,0,103,60
114,Den,Raphaely,den.raphaely@company.com,515.127.4561,7/1/2011,PU_MAN,11000,0,100,30
115,Alexander,Khoo,alexander.khoo@company.com,515.127.4562,7/2/2012,PU_CLERK,3100,0,114,30
116,Shelli,Baida,shelli.baida@company.com,515.127.4563,7/3/2012,PU_CLERK,2900,0,114,30
117,Sigal,Tobias,sigal.tobias@company.com,515.127.4564,7/4/2012,PU_CLERK,2800,0,114,30
108,Nancy,Greenberg,nancy.greenberg@company.com,515.999.4569,6/25/2012,FI_MGR,12000,0,101,100
109,Daniel,Faviet,daniel.faviet@company.com,515.999.4169,6/26/2012,FI_ACCOUNT,9000,0,108,100
110,John,Chen,john.chen@company.com,515.999.4269,6/27/2012,FI_ACCOUNT,8200,0,108,100
111,Ismael,Sciarra,ismael.sciarra@company.com,515.999.4369,6/28/2014,FI_ACCOUNT,7700,0,108,100
112,Jose Manuel,Urman,jose manuel.urman@company.com,515.999.4469,6/29/2014,FI_ACCOUNT,7800,0,108,100
113,Luis,Popp,luis.popp@company.com,515.999.4567,6/30/2014,FI_ACCOUNT,6900,0,108,100
133,Jason,Mallin,jason.mallin@company.com,650.127.1934,7/20/2014,ST_CLERK,3300,0,122,50
134,Michael,Rogers,michael.rogers@company.com,650.127.1834,7/21/2014,ST_CLERK,2900,0,122,50
135,Ki,Gee,ki.gee@company.com,650.127.1734,7/22/2015,ST_CLERK,2400,0,122,50
136,Hazel,Philtanker,hazel.philtanker@company.com,650.127.1634,7/23/2016,ST_CLERK,2200,0,122,50
137,Renske,Ladwig,renske.ladwig@company.com,650.121.1234,7/24/2016,ST_CLERK,3600,0,123,50
138,Stephen,Stiles,stephen.stiles@company.com,650.121.2034,7/25/2016,ST_CLERK,3200,0,123,50
139,John,Seo,john.seo@company.com,650.121.2019,7/26/2016,ST_CLERK,2700,0,123,50
140,Joshua,Patel,joshua.patel@company.com,650.121.1834,7/27/2016,ST_CLERK,2500,0,123,50
129,Laura,Bissot,laura.bissot@company.com,650.999.5234,7/16/2017,ST_CLERK,3300,0,121,50
130,Mozhe,Atkinson,mozhe.atkinson@company.com,650.999.6234,7/17/2017,ST_CLERK,2800,0,121,50
131,James,Marlow,james.marlow@company.com,650.999.7234,7/18/2018,ST_CLERK,2500,0,121,50
132,TJ,Olson,tj.olson@company.com,650.999.8234,7/19/2019,ST_CLERK,2100,0,121,50
141,Trenna,Rajs,trenna.rajs@company.com,650.121.8009,7/28/2020,ST_CLERK,3500,0,124,50
142,Curtis,Davies,curtis.davies@company.com,650.121.2994,7/29/2020,ST_CLERK,3100,0,124,50
143,Randall,Matos,randall.matos@company.com,650.121.2874,7/30/2020,ST_CLERK,2600,0,124,50
144,Peter,Vargas,peter.vargas@company.com,650.121.2004,7/31/2020,ST_CLERK,2500,0,124,50
145,John,Russell,john.russell@company.com,011.44.1344.429268,8/1/2020,SA_MAN,14000,0,100,80
146,Karen,Partners,karen.partners@company.com,011.44.1344.467268,8/2/2020,SA_MAN,13500,0,100,80
147,Alberto,Errazuriz,alberto.errazuriz@company.com,011.44.1344.429278,8/3/2020,SA_MAN,12000,0,100,80
148,Gerald,Cambrault,gerald.cambrault@company.com,011.44.1344.619268,8/4/2020,SA_MAN,11000,0,100,80
149,Eleni,Zlotkey,eleni.zlotkey@company.com,011.44.1344.429018,8/5/2020,SA_MAN,10500,0,100,80
150,Peter,Tucker,peter.tucker@company.com,011.44.1344.129268,8/6/2020,SA_REP,10000,0,145,80
118,Guy,Himuro,guy.himuro@company.com,515.127.4565,7/5/2020,PU_CLERK,2600,0,114,30
119,Karen,Colmenares,karen.colmenares@company.com,515.127.4566,7/6/2020,PU_CLERK,2500,0,114,30
120,Matthew,Weiss,matthew.weiss@company.com,650.123.1234,7/7/2020,ST_MAN,8000,0,100,50
121,Adam,Fripp,adam.fripp@company.com,650.123.2234,7/8/2020,ST_MAN,8200,0,100,50
122,Payam,Kaufling,payam.kaufling@company.com,650.123.3234,7/9/2020,ST_MAN,7900,0,100,50
123,Shanta,Vollman,shanta.vollman@company.com,650.123.4234,7/10/2020,ST_MAN,6500,0,100,50
124,Kevin,Mourgos,kevin.mourgos@company.com,650.123.5234,7/11/2020,ST_MAN,5800,0,100,50
151,David,Bernstein,david.bernstein@company.com,011.44.1344.345268,8/7/2020,SA_REP,9500,0,145,80
152,Peter,Hall,peter.hall@company.com,011.44.1344.478968,8/8/2020,SA_REP,9000,0,145,80
